NinjaScript File,Error,Code,Line,Column,
V12_002\PositionInfo.cs,Auto-implemented instance properties in readonly structs must be readonly.,CS8341,409,27,
V12_002\PositionInfo.cs,Auto-implemented instance properties in readonly structs must be readonly.,CS8341,411,24,
V12_002\PositionInfo.cs,Auto-implemented instance properties in readonly structs must be readonly.,CS8341,413,27,
V12_002\PositionInfo.cs,Auto-implemented instance properties in readonly structs must be readonly.,CS8341,415,35,
V12_002\PositionInfo.cs,Auto-implemented instance properties in readonly structs must be readonly.,CS8341,417,26,
V12_002\PositionInfo.cs,Auto-implemented instance properties in readonly structs must be readonly.,CS8341,419,29,
V12_002\PositionInfo.cs,Auto-implemented instance properties in readonly structs must be readonly.,CS8341,422,37,
V12_002\PositionInfo.cs,Auto-implemented instance properties in readonly structs must be readonly.,CS8341,424,25,
